network,optimizer,pct,stop_mode,rep,seed,generation,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,pop_size,pct_satisfiers,best_fitness
bypass,umda,5,top10,5,47,23,95.0,73.2,55.00000000000001,73.2,50,50,100.0,0.0
bypass,umda,5,top10,5,47,24,95.0,72.9,45.0,72.9,50,50,100.0,0.0
bypass,umda,5,top10,5,47,25,95.0,72.5,50.0,72.5,50,50,100.0,0.0
bypass,umda,5,top10,5,47,26,95.0,71.1,40.0,71.1,50,50,100.0,0.0
bypass,umda,5,top10,5,47,27,90.0,68.0,35.0,68.0,50,50,100.0,0.0
bypass,umda,5,top10,5,47,28,85.0,64.3,40.0,64.3,50,50,100.0,0.0
bypass,umda,5,top10,5,47,29,85.0,68.4,25.0,68.4,50,50,100.0,0.0
bypass,umda,5,top10,5,47,30,85.0,64.4,35.0,64.4,50,50,100.0,0.0
bypass,umda,5,top10,5,47,31,95.0,60.1,25.0,60.1,50,50,100.0,0.0
bypass,umda,5,top10,5,47,32,95.0,61.7,15.0,63.54166666666666,48,50,96.0,0.0
bypass,umda,5,top10,5,47,33,80.0,60.7,35.0,60.7,50,50,100.0,0.0
bypass,umda,5,top10,5,47,34,85.0,57.5,25.0,57.5,50,50,100.0,0.0
